ATS (100 broadcast interval, tuning parameters = 0.1)
Tick,Average error
0,682.2995301483074
1,682.2995361895697
2,682.2995422308321
3,682.2995482720945
4,682.2995543133569
5,682.2995603546196
6,682.299566395882
7,682.2995724371444
8,682.2995784784067
9,682.2995845196691
10,682.2995905609317
11,682.2995966021939
12,682.2996026434563
13,682.2996086847187
14,682.2996147259812
15,682.2996207672436
16,682.2996268085061
17,682.2996328497684
18,682.2996388910309
19,682.2996449322933
20,682.2996509735557
21,682.2996570148182
22,682.2996630560807
23,682.2996690973431
24,682.2996751386055
25,682.299681179868
26,682.2996872211303
27,682.2996932623928
28,682.2996993036552
29,682.2997053449175
30,682.29971138618
31,682.2997174274424
32,682.2997234687049
33,682.2997295099673
34,682.2997355512297
35,682.2997415924921
36,682.2997476337545
37,682.2997536750171
38,682.2997597162795
39,682.2997657575419
40,682.2997717988043
41,682.2997778400667
42,682.2997838813291
43,682.2997899225915
44,682.2997959638539
45,682.2998020051164
46,682.2998080463786
47,682.2998140876412
48,682.2998201289037
49,682.299826170166
50,682.2998322114285
51,682.299838252691
52,682.2998442939532
53,682.2998503352159
54,682.2998563764781
55,682.2998624177405
56,682.2998684590029
57,682.2998745002653
58,682.299880541528
59,682.29988658279
60,682.2998926240527
61,682.299898665315
62,682.2999047065775
63,682.2999107478399
64,682.2999167891021
65,682.2999228303647
66,682.299928871627
67,682.2999349128897
68,682.2999409541521
69,682.2999469954146
70,682.299953036677
71,682.2999590779393
72,682.2999651192018
73,682.2999711604642
74,682.2999772017267
75,682.2999832429891
76,682.2999892842512
77,682.2999953255139
78,682.3000013667761
79,682.3000074080388
80,682.3000134493012
81,682.3000194905634
82,682.300025531826
83,682.3000315730883
84,682.300037614351
85,682.3000436556133
86,682.3000496968758
87,682.300055738138
88,682.3000617794006
89,682.3000678206628
90,682.3000738619252
91,682.3000799031879
92,682.3000859444501
93,682.3000919857125
94,682.3000980269752
95,682.3001040682374
96,682.3001101094998
97,682.3001161507622
98,682.3001221920249
99,682.3001282332871
100,682.3001342745497
101,682.300140315812
102,682.3001463570743
103,682.3001523983368
104,682.3001584395992
105,696.0362587000188
106,638.0940000313608
107,638.0940159676
108,638.0940319038392
109,638.0940478400782
110,638.0940637763175
111,638.0940797125569
112,638.094095648796
113,638.094111585035
114,638.0941275212743
115,638.0941434575136
116,638.0941593937528
117,638.0941753299919
118,638.0941912662312
119,638.0942072024704
120,638.0942231387096
121,638.094239074949
122,638.0942550111881
123,638.0942709474272
124,638.0942868836663
125,638.0943028199057
126,638.0943187561447
127,638.094334692384
128,638.0943506286233
129,638.0943665648624
130,638.0943825011017
131,638.0943984373408
132,638.09441437358
133,638.0944303098192
134,638.0944462460584
135,638.0944621822977
136,638.0944781185368
137,638.0944940547762
138,638.0945099910153
139,638.0945259272544
140,638.0945418634938
141,638.094557799733
142,638.0945737359722
143,638.0945896722113
144,638.0946056084507
145,638.0946215446899
146,638.094637480929
147,638.094653417168
148,638.0946693534074
149,638.0946852896465
150,638.0947012258858
151,638.094717162125
152,638.0947330983643
153,638.0947490346033
154,638.0947649708424
155,638.0947809070818
156,638.094796843321
157,638.0948127795604
158,638.0948287157994
159,638.0948446520387
160,638.0948605882777
161,638.0948765245171
162,638.0948924607561
163,638.0949083969954
164,638.0949243332346
165,638.0949402694739
166,638.0949562057131
167,638.0949721419522
168,638.0949880781915
169,638.0950040144306
170,638.0950199506697
171,638.095035886909
172,638.0950518231484
173,638.0950677593873
174,638.0950836956267
175,638.0950996318659
176,638.0951155681051
177,638.0951315043443
178,638.0951474405833
179,638.0951633768226
180,638.0951793130621
181,638.095195249301
182,638.0952111855403
183,638.0952271217797
184,638.0952430580187
185,638.0952589942578
186,638.0952749304971
187,638.0952908667363
188,638.0953068029756
189,638.0953227392148
190,638.095338675454
191,638.0953546116933
192,638.0953705479324
193,638.0953864841716
194,638.0954024204108
195,638.0954183566502
196,638.0954342928893
197,638.0954502291285
198,638.0954661653677
199,638.0954821016069
200,638.0954980378461
201,638.0955139740851
202,638.0955299103246
203,638.0955458465637
204,638.0955617828027
205,507.5656855549112
206,507.56569559403465
207,570.7465042545929
208,570.7465200708199
209,570.7465358870469
210,570.7465517032739
211,570.7465675195008
212,570.7465833357276
213,570.7465991519545
214,570.7466149681815
215,570.7466307844084
216,570.7466466006352
217,570.7466624168621
218,570.7466782330891
219,570.7466940493161
220,570.7467098655429
221,570.7467256817699
222,570.7467414979968
223,570.7467573142238
224,570.7467731304507
225,570.7467889466776
226,570.7468047629044
227,570.7468205791316
