ATS (100 broadcast interval, tuning parameters = 0.9)
Tick,Average error
0,913.6755632183647
1,913.6755967516168
2,913.6756302848682
3,913.6756638181198
4,913.6756973513712
5,913.675730884623
6,913.6757644178747
7,913.6757979511261
8,913.6758314843778
9,913.6758650176292
10,913.6758985508809
11,913.6759320841329
12,913.6759656173842
13,913.675999150636
14,913.6760326838873
15,913.6760662171391
16,913.6760997503909
17,913.6761332836426
18,913.6761668168941
19,913.6762003501456
20,913.6762338833969
21,913.6762674166487
22,913.6763009499005
23,913.6763344831521
24,913.6763680164039
25,913.6764015496552
26,913.6764350829067
27,913.6764686161583
28,913.6765021494106
29,913.6765356826619
30,913.6765692159137
31,913.6766027491652
32,913.6766362824168
33,913.6766698156683
34,913.67670334892
35,913.6767368821717
36,913.6767704154232
37,913.6768039486749
38,913.6768374819264
39,913.6768710151779
40,913.6769045484294
41,913.6769380816813
42,913.6769716149331
43,913.6770051481845
44,913.6770386814361
45,913.6770722146878
46,913.6771057479393
47,913.6771392811909
48,913.6771728144424
49,913.6772063476943
50,913.6772398809459
51,913.6772734141973
52,913.677306947449
53,913.6773404807007
54,913.6773740139522
55,913.6774075472041
56,913.6774410804554
57,913.6774746137073
58,913.6775081469584
59,913.6775416802103
60,913.6775752134621
61,913.6776087467138
62,913.6776422799655
63,913.6776758132169
64,913.6777093464686
65,913.6777428797202
66,913.6777764129719
67,913.6778099462235
68,913.677843479475
69,913.6778770127266
70,913.6779105459784
71,913.6779440792301
72,913.6779776124818
73,913.6780111457332
74,913.6780446789847
75,913.6780782122363
76,913.678111745488
77,913.6781452787396
78,913.6781788119911
79,913.678212345243
80,913.6782458784945
81,913.6782794117461
82,913.6783129449979
83,913.6783464782494
84,913.678380011501
85,913.6784135447527
86,913.6784470780041
87,913.6784806112555
88,913.6785141445072
89,913.6785476777592
90,913.6785812110106
91,913.6786147442622
92,913.6786482775136
93,913.6786818107657
94,913.678715344017
95,913.6787488772686
96,913.6787824105205
97,913.6788159437721
98,913.6788494770233
99,913.6788830102751
100,913.6789165435267
101,913.6789500767784
102,913.67898361003
103,913.6790171432818
104,913.6790506765338
105,615.9444237161795
106,387.4105848790423
107,387.4105998924107
108,387.41061490577886
109,387.41062991914737
110,387.4106449325156
111,387.4106599458839
112,387.4106749592522
113,387.4106899726206
114,387.41070498598884
115,387.4107199993572
116,387.4107350127254
117,387.41075002609375
118,387.4107650394622
119,387.41078005283055
120,387.4107950661988
121,387.4108100795671
122,387.4108250929354
123,387.41084010630385
124,387.41085511967214
125,387.41087013304036
126,387.4108851464088
127,387.4109001597769
128,387.4109151731455
129,387.41093018651367
130,387.4109451998821
131,387.41096021325023
132,387.41097522661863
133,387.4109902399869
134,387.41100525335537
135,387.41102026672365
136,387.4110352800919
137,387.4110502934602
138,387.4110653068286
139,387.4110803201971
140,387.4110953335652
141,387.41111034693364
142,387.41112536030187
143,387.41114037367026
144,387.4111553870386
145,387.41117040040683
146,387.41118541377523
147,387.4112004271435
148,387.41121544051185
149,387.4112304538802
150,387.41124546724853
151,387.4112604806168
152,387.4112754939851
153,387.4112905073534
154,387.4113055207217
155,387.4113205340902
156,387.41133554745835
157,387.4113505608267
158,387.4113655741951
159,387.4113805875634
160,387.4113956009317
161,387.4114106143001
162,387.41142562766834
163,387.41144064103673
164,387.411455654405
165,387.4114706677733
166,387.4114856811417
167,387.41150069451
168,387.41151570787827
169,387.4115307212466
170,387.411545734615
171,387.41156074798323
172,387.4115757613517
173,387.41159077471985
174,387.4116057880882
175,387.41162080145654
176,387.411635814825
177,387.4116508281932
178,387.4116658415616
179,387.4116808549297
180,387.41169586829824
181,387.41171088166664
182,387.4117258950347
183,387.41174090840315
184,387.41175592177154
185,387.41177093513977
186,387.4117859485081
187,387.4118009618765
188,387.41181597524474
189,387.411830988613
190,387.4118460019814
191,387.41186101534987
192,387.4118760287181
193,387.4118910420864
194,387.41190605545484
195,387.41192106882306
196,387.4119360821914
197,387.41195109555986
198,387.411966108928
199,387.41198112229637
200,387.41199613566465
201,387.412011149033
202,387.4120261624012
203,387.4120411757697
204,387.412056189138
205,301.25781081726683
206,301.2578213342338
207,219.453221661508
208,219.4532201767736
209,219.4532186920393
210,219.45321720730485
211,219.45321572257058
212,219.45321423783605
213,219.4532127531017
214,219.45321126836743
215,219.45320978363293
216,219.45320829889857
217,219.4532068141641
218,219.45320532942978
219,219.45320384469548
220,219.4532023599611
221,219.45320087522666
222,219.4531993904924
223,219.45319790575783
224,219.45319642102353
225,219.45319493628915
226,219.4531934515548
227,219.45319196682038
228,219.45319048208594
229,219.45318899735156
230,219.45318751261726
231,219.45318602788288
232,219.4531845431485
233,219.45318305841408
234,219.45318157367964
235,219.45318008894535
236,219.4531786042109
237,219.4531771194766
238,219.45317563474222
239,219.45317415000784
240,219.45317266527348
241,219.45317118053907
242,219.4531696958046
243,219.4531682110703
244,219.45316672633584
245,219.45316524160148
246,219.45316375686716
247,219.45316227213272
248,219.45316078739833
249,219.45315930266395
250,219.45315781792956
251,219.45315633319527
252,219.45315484846083
253,219.4531533637265
254,219.45315187899212
255,219.45315039425765
256,219.45314890952332
257,219.45314742478894
258,219.45314594005455
259,219.45314445532026
260,219.45314297058576
261,219.45314148585138
262,219.45314000111705
263,219.45313851638267
264,219.45313703164834
265,219.45313554691384
266,219.4531340621795
267,219.4531325774452
268,219.45313109271075
269,219.4531296079764
270,219.453128123242
271,219.4531266385076
272,219.4531251537733
273,219.45312366903892
274,219.45312218430453
275,219.45312069957018
276,219.45311921483574
277,219.45311773010133
278,219.45311624536697
279,219.45311476063256
280,219.45311327589815
281,219.45311179116382
282,219.45311030642944
283,219.45310882169503
284,219.45310733696067
285,219.45310585222626
286,219.45310436749187
287,219.45310288275752
288,219.45310139802314
289,219.45309991328867
290,219.45309842855443
291,219.45309694382
292,219.45309545908563
293,219.45309397435122
294,219.45309248961686
295,219.45309100488248
296,219.4530895201481
297,219.45308803541377
298,219.4530865506793
299,219.45308506594498
300,219.45308358121054
301,219.45308209647612
302,219.45308061174183
303,219.45307912700747
304,219.45307764227306
305,176.45954361602253
306,176.45954449053718
307,176.45954536505187
308,136.70370196719762
309,136.7036987743087
310,136.7036955814198
311,136.70369238853075
312,136.70368919564189
313,136.70368600275285
314,136.70368280986392
315,136.70367961697494
316,136.70367642408598
317,136.70367323119706
318,136.70367003830808
319,136.7036668454191
320,136.7036636525301
321,136.70366045964113
322,136.70365726675223
323,136.70365407386322
324,136.70365088097427
325,136.70364768808528
326,136.70364449519633
327,136.70364130230737
328,136.70363810941845
329,136.70363491652947
330,136.70363172364046
331,136.70362853075147
332,136.70362533786255
333,136.70362214497356
334,136.7036189520847
335,136.70361575919563
336,136.70361256630665
337,136.70360937341783
338,136.70360618052874
339,136.7036029876398
340,136.70359979475086
341,136.70359660186188
342,136.70359340897295
343,136.70359021608397
344,136.703587023195
345,136.703583830306
346,136.70358063741708
347,136.70357744452812
348,136.70357425163914
349,136.7035710587502
350,136.7035678658612
351,136.70356467297228
352,136.7035614800833
353,136.7035582871943
354,136.7035550943053
355,136.7035519014164
356,136.70354870852742
357,136.7035455156385
358,136.70354232274948
359,136.70353912986056
360,136.70353593697158
361,136.7035327440826
362,136.7035295511936
363,136.70352635830469
364,136.70352316541567
365,136.70351997252678
366,136.7035167796378
367,136.7035135867489
368,136.70351039385986
369,136.70350720097088
370,136.70350400808195
371,136.70350081519302
372,136.70349762230398
373,136.70349442941506
374,136.70349123652608
375,136.70348804363712
376,136.70348485074814
377,136.70348165785921
378,136.70347846497023
379,136.70347527208128
380,136.70347207919232
381,136.70346888630334
382,136.7034656934143
383,136.70346250052543
384,136.70345930763648
385,136.70345611474752
386,136.70345292185849
387,136.70344972896956
388,136.70344653608055
389,136.70344334319165
390,136.7034401503027
391,136.70343695741374
392,136.70343376452476
393,136.70343057163578
394,136.70342737874685
395,136.70342418585784
396,136.70342099296894
